name,adress,phone,points in russian,points in computer science,points in mathematics,points in physics,social science,year of admission,major
Латышев Николай,"Орловская область, г.Дмитровск, ул.Гагарина, д. 28",+7(966)-335-0717,85,88,91,81,46,2019,Физика
Орлова Арина,"Орловская область, г.Ливны, ул.Октябрьская, д. 60",+7(922)-244-0632,69,49,68,55,65,2020,Статистика
Воронцова Алиса,"г. Курск, ул.Гагарина, д. 1",+7(964)-331-5514,53,72,99,44,81,2012,Математика
Розова Анна,"Орловская область, г.Мценск, ул.Революции, д. 15",+7(938)-662-5643,74,53,59,70,69,2021,Прикладная информатика
Муравьев Лев,"Брянская область, г.Фокино, ул.Центральная, д. 64",+7(993)-888-7948,56,93,64,69,65,2016,Прикладная математика и информатика
Петров Федор,"Брянская область, г.Жуковка, ул.Центральная, д. 19",+7(981)-999-8465,63,63,43,58,99,2014,Прикладная математика и информатика
Платова Мария,"Орловская область, г.Дмитровск, ул.Центральная, д. 51",+7(989)-386-4486,40,84,83,79,55,2014,Физика
Петров Иван,"Орловская область, г.Болхов, ул.Октябрьская, д. 39",+7(958)-531-6382,51,74,71,67,76,2020,Математика
Кочергин Роман,"Орловская область, г.Мценск, ул. Ленина, д. 51",+7(999)-269-3153,95,59,87,60,88,2016,Прикладная математика и информатика
Васильева Мария,"Брянская область, г.Жуковка, ул. Ленина, д. 23",+7(988)-603-6175,80,91,49,68,46,2016,Статистика
Мышкин Владимир,"Брянская область, г.Дятьково, ул.Гагарина, д. 66",+7(921)-026-9765,55,62,73,89,41,2011,Статистика
Сергеев Роман,"Брянская область, г.Дятьково, ул. Ленина, д. 41",+7(904)-735-3832,87,98,91,40,73,2019,Прикладная математика и информатика
Иванов Роман,"Орловская область, г.Дмитровск, ул. Ленина, д. 60",+7(995)-082-9880,64,61,92,69,59,2013,Педагогическое образование
Васильева Аделина,"Брянская область, г.Жуковка, ул.Новая, д. 17",+7(968)-233-4096,43,76,42,77,76,2018,Статистика
Ферзен Милена,"Орловская область, г.Ливны, ул.Гагарина, д. 29",+7(960)-746-7298,72,69,73,61,46,2012,Физика
Сергеев Юрий,"Брянская область, г.Дятьково, ул.Революции, д. 17",+7(962)-918-6663,87,44,63,39,82,2019,Математика
Ларина Алисия,"Брянская область, г.Жуковка, ул.Центральная, д. 66",+7(901)-992-7655,70,54,76,87,66,2010,Прикладная информатика
Ферзен Лилия,"Орловская область, г.Дмитровск, ул.Центральная, д. 57",+7(920)-200-3002,73,61,58,94,91,2015,Статистика
Ларина Диана,"Брянская область, г.Дятьково, ул.Октябрьская, д. 2",+7(960)-447-7663,45,40,87,89,74,2014,Физика
Латышев Иван,"г. Брянск, ул. Ленина, д. 22",+7(968)-627-3588,93,83,98,39,43,2022,Педагогическое образование
Платова Анастасия,"Брянская область, г.Жуковка, ул.Новая, д. 11",+7(918)-266-5863,77,67,78,99,69,2020,Прикладная математика и информатика
Лозовский Сергей,"Орловская область, г.Мценск, ул.Октябрьская, д. 55",+7(964)-265-3885,51,74,83,55,89,2021,Математика
Лозовский Федор,"Орловская область, г.Болхов, ул.Гагарина, д. 17",+7(989)-899-8165,40,68,49,53,49,2017,Прикладная информатика
Платова Анна,"г.Орёлул.Гагарина, д. 14",+7(900)-116-8040,83,61,67,53,47,2013,Педагогическое образование
Иванов Алексей,"Брянская область, г.Дятьково, ул. Ленина, д. 53",+7(993)-008-4909,89,69,67,83,79,2013,Физика
Ермолаев Владимир,"Орловская область, г.Болхов, ул.Октябрьская, д. 11",+7(964)-094-1614,43,94,78,76,78,2016,Математика
Уварова Алисия,"г. Брянск, ул.Центральная, д. 19",+7(920)-110-2122,99,49,89,99,49,2010,Прикладная информатика
Петров Федор,"Орловская область, г.Мценск, ул.Революции, д. 46",+7(905)-486-0795,77,85,49,60,41,2011,Прикладная математика и информатика
Орлова Алиса,"Орловская область, г.Мценск, ул.Центральная, д. 16",+7(908)-090-1878,79,92,64,60,71,2015,Прикладная информатика
Муравьев Константин,"г. Брянск, ул.Революции, д. 47",+7(991)-463-0694,53,56,51,47,78,2014,Прикладная математика и информатика
Иванов Иван,"г. Курск, ул.Гагарина, д. 52",+7(918)-393-3028,96,47,59,62,53,2016,Прикладная математика и информатика
Панина Марина,"Орловская область, г.Болхов, ул.Гагарина, д. 0",+7(908)-911-9135,64,75,89,50,74,2014,Физика
Николаев Иван,"Брянская область, г.Фокино, ул.Октябрьская, д. 59",+7(977)-863-5869,95,54,61,98,83,2011,Прикладная математика и информатика
Платова Мария,"Брянская область, г.Жуковка, ул. Ленина, д. 6Р",+7(992)-868-7473,72,58,74,64,40,2015,Педагогическое образование
Ферзен Анна,"Орловская область, г.Мценск, ул.Гагарина, д. 54",+7(951)-854-9461,40,70,66,90,50,2018,Физика
Орлова Арина,"г. Курск, ул.Гагарина, д. 64",+7(986)-098-9440,71,92,45,51,62,2019,Прикладная математика и информатика
Ларина Марина,"Орловская область, г.Болхов, ул.Центральная, д. 53",+7(920)-740-2427,77,43,97,55,94,2019,Прикладная информатика
Панина Аделина,"Орловская область, г.Мценск, ул.Центральная, д. 68",+7(977)-134-5995,48,85,45,92,42,2020,Педагогическое образование
Орлова Аделина,"Орловская область, г.Дмитровск, ул.Октябрьская, д. 30",+7(963)-532-0899,78,60,99,99,49,2021,Педагогическое образование
Ермолаев Юрий,"Брянская область, г.Фокино, ул. Ленина, д. 31",+7(928)-139-4711,42,62,84,70,96,2015,Статистика
Уварова Дина,"Орловская область, г.Болхов, ул.Центральная, д. 7",+7(915)-629-5736,64,66,58,94,93,2012,Прикладная математика и информатика
Латышев Николай,"Орловская область, г.Болхов, ул.Гагарина, д. 44Ц",+7(918)-278-7632,57,87,50,68,76,2021,Статистика
Николаев Владимир,"г.Орёлул.Октябрьская, д. 32М",+7(921)-516-8831,77,44,87,85,55,2012,Прикладная информатика
Картамышев Константин,"Орловская область, г.Мценск, ул.Октябрьская, д. 43",+7(994)-939-4885,46,50,78,75,66,2010,Прикладная математика и информатика
Мышкин Федор,"г.Орёлул.Центральная, д. 21",+7(991)-463-0694,56,77,79,85,51,2013,Математика
Чичиков Иван,"г. Курск, ул. Ленина, д. 55",+7(989)-347-1791,43,92,96,57,69,2012,Прикладная информатика
Николаев Владислав,"г. Курск, ул.Гагарина, д. 46",+7(920)-455-5643,80,69,50,99,39,2014,Математика
Уварова Милена,"Орловская область, г.Мценск, ул.Революции, д. 13",+7(978)-188-6362,87,66,41,57,39,2018,Математика
Латышев Илья,"Брянская область, г.Фокино, ул.Центральная, д. 15",+7(978)-616-4637,67,93,90,78,69,2014,Математика
Латышев Сергей,"Орловская область, г.Ливны, ул.Октябрьская, д. 68",+7(988)-387-4620,59,68,97,77,93,2021,Физика
Мышкин Юрий,"Брянская область, г.Жуковка, ул.Гагарина, д. 47",+7(980)-960-3970,47,62,99,57,51,2017,Педагогическое образование
Платова Анастасия,"г. Брянск, ул.Гагарина, д. 34",+7(999)-976-8620,94,85,87,87,78,2020,Статистика
Муравьев Владислав,"Брянская область, г.Карачев, ул.Новая, д. 33",+7(931)-251-7455,74,56,81,70,63,2016,Прикладная математика и информатика
Васильева Мария,"Орловская область, г.Ливны, ул.Центральная, д. 30Н",+7(936)-483-3156,77,45,95,90,45,2013,Прикладная информатика
Сазонова Лилия,"Брянская область, г.Карачев, ул.Новая, д. 6",+7(915)-629-5736,84,46,65,71,70,2015,Педагогическое образование
Сазонова Милена,"Брянская область, г.Клинцы, ул.Гагарина, д. 48",+7(911)-105-5240,52,93,54,57,47,2021,Статистика
Ферзен Арина,"Брянская область, г.Дятьково, ул.Новая, д. 47",+7(977)-780-5152,74,52,67,67,50,2022,Статистика
Петров Сергей,"Брянская область, г.Фокино, ул. Ленина, д. 49",+7(925)-733-9944,92,59,49,42,84,2019,Математика
Орлова Мария,"Орловская область, г.Болхов, ул.Гагарина, д. 62",+7(933)-743-0207,42,43,86,72,45,2022,Прикладная информатика
Платова Анастасия,"Орловская область, г.Ливны, ул. Ленина, д. 31",+7(921)-755-9231,73,61,99,96,89,2014,Физика
Панина Марина,"Брянская область, г.Жуковка, ул.Новая, д. 5",+7(953)-846-5754,80,62,84,61,60,2022,Педагогическое образование
Ферзен Анна,"Орловская область, г.Болхов, ул.Гагарина, д. 47",+7(950)-780-9778,50,69,50,48,72,2020,Прикладная информатика
Зотова Марина,"г. Брянск, ул.Гагарина, д. 48",+7(969)-551-9509,87,73,87,99,41,2011,Математика
Ермолаев Роман,"г. Курск, ул.Гагарина, д. 24",+7(994)-995-6535,45,45,45,67,53,2017,Прикладная математика и информатика
Николаев Владимир,"Орловская область, г.Болхов, ул.Революции, д. 38",+7(933)-204-7143,70,68,86,76,94,2019,Математика
Зотова Марина,"Брянская область, г.Фокино, ул.Революции, д. 31",+7(920)-231-4827,94,65,59,76,52,2016,Прикладная информатика
Панина Милена,"Брянская область, г.Клинцы, ул.Новая, д. 14",+7(905)-253-6927,61,65,51,97,64,2022,Педагогическое образование
Орлова Алисия,"Брянская область, г.Жуковка, ул.Центральная, д. 37",+7(995)-159-4568,63,71,39,72,87,2012,Педагогическое образование
Зотова Арина,"Брянская область, г.Фокино, ул.Революции, д. 65",+7(919)-143-2942,80,87,73,66,50,2014,Прикладная информатика
Сергеев Андрей,"Брянская область, г.Карачев, ул. Ленина, д. 34",+7(927)-434-4292,64,50,75,39,96,2016,Статистика
Кочергин Лев,"Брянская область, г.Дятьково, ул.Гагарина, д. 4",+7(951)-775-5403,76,68,59,64,93,2011,Прикладная информатика
Панина Алисия,"Орловская область, г.Мценск, ул. Ленина, д. 43",+7(910)-992-3563,93,97,53,63,84,2021,Математика
Иванов Иван,"Брянская область, г.Карачев, ул. Ленина, д. 53",+7(996)-340-6723,96,44,91,49,49,2021,Математика
Сидоров Юрий,"Орловская область, г.Болхов, ул.Гагарина, д. 55",+7(958)-098-2872,77,97,66,86,71,2012,Прикладная математика и информатика
Мышкин Илья,"г. Брянск, ул.Революции, д. 64Ъ",+7(994)-396-1115,65,46,57,96,88,2016,Прикладная математика и информатика
Орлова Алисия,"г.Орёлул.Гагарина, д. 55",+7(967)-662-7303,55,50,71,46,84,2020,Прикладная математика и информатика
Коровьев Иван,"Орловская область, г.Ливны, ул.Гагарина, д. 61",+7(958)-144-6085,56,92,44,39,82,2016,Физика
Орлова Дина,"Орловская область, г.Мценск, ул.Новая, д. 5",+7(991)-463-0694,88,66,63,67,42,2017,Статистика
Лозовский Константин,"Брянская область, г.Клинцы, ул.Центральная, д. 26",+7(937)-581-2186,60,79,90,95,42,2022,Прикладная информатика
Зотова Дина,"Брянская область, г.Клинцы, ул.Октябрьская, д. 67",+7(925)-936-3674,85,70,40,95,40,2020,Математика
Сидоров Юрий,"Брянская область, г.Дятьково, ул.Октябрьская, д. 48",+7(915)-308-9298,50,94,42,48,48,2016,Статистика
Картамышев Николай,"Орловская область, г.Дмитровск, ул.Гагарина, д. 31",+7(953)-586-0082,86,75,54,78,43,2015,Прикладная информатика
Рябинина Анастасия,"г.Орёлул.Новая, д. 38",+7(985)-494-2033,89,89,48,86,92,2012,Прикладная математика и информатика
Рябинина Арина,"Орловская область, г.Дмитровск, ул.Гагарина, д. 42",+7(985)-537-6966,63,76,62,52,44,2021,Прикладная математика и информатика
Панина Алисия,"Брянская область, г.Жуковка, ул.Центральная, д. 11",+7(985)-844-9569,51,70,96,96,96,2014,Прикладная математика и информатика
Мышкин Владислав,"Брянская область, г.Клинцы, ул.Октябрьская, д. 38",+7(963)-027-8670,59,71,84,44,48,2013,Прикладная математика и информатика
Розова Алисия,"Орловская область, г.Мценск, ул.Новая, д. 50",+7(950)-369-6770,61,66,73,98,53,2013,Прикладная математика и информатика
Панина Арина,"Орловская область, г.Мценск, ул.Центральная, д. 43",+7(908)-090-1878,64,96,53,89,59,2019,Математика
Петров Роман,"г. Курск, ул.Новая, д. 18",+7(906)-936-9795,62,71,64,72,65,2016,Прикладная математика и информатика
Панина Милена,"Брянская область, г.Клинцы, ул.Новая, д. 0",+7(911)-613-1064,51,57,68,39,44,2019,Статистика
Николаев Федор,"г. Курск, ул.Новая, д. 53",+7(929)-945-1854,87,61,81,47,94,2017,Физика
Сазонова Марина,"г. Брянск, ул. Ленина, д. 28Н",+7(952)-857-9519,92,67,70,70,60,2018,Педагогическое образование
Васильева Лилия,"Орловская область, г.Мценск, ул.Октябрьская, д. 38Б",+7(984)-183-2068,69,83,72,55,78,2010,Физика
Воронцова Арина,"г. Брянск, ул.Центральная, д. 67",+7(996)-069-4002,75,92,72,71,59,2022,Статистика
Коровьев Сергей,"Орловская область, г.Мценск, ул.Новая, д. 50",+7(938)-381-3929,97,88,61,50,97,2019,Прикладная информатика
Картамышев Роман,"Орловская область, г.Дмитровск, ул.Новая, д. 20",+7(984)-725-1067,63,97,43,61,83,2021,Математика
Лозовский Лев,"Брянская область, г.Фокино, ул. Ленина, д. 49",+7(992)-113-0479,57,62,71,98,40,2010,Педагогическое образование
Иванов Николай,"Орловская область, г.Болхов, ул.Новая, д. 58",+7(914)-422-2549,71,51,42,58,39,2022,Статистика
Васильева Анна,"г.Орёлул.Гагарина, д. 54",+7(978)-747-4687,57,96,68,64,62,2010,Физика
Панина Диана,"г. Курск, ул.Октябрьская, д. 41",+7(916)-760-6338,74,93,53,62,78,2014,Статистика
Коровьев Илья,"Брянская область, г.Карачев, ул.Октябрьская, д. 4",+7(934)-782-4354,51,88,89,87,54,2022,Педагогическое образование
Иванов Сергей,"Орловская область, г.Мценск, ул. Ленина, д. 49",+7(966)-553-6445,66,91,63,69,52,2016,Математика
Ларина Арина,"г.Орёлул.Новая, д. 58",+7(988)-960-2413,63,77,57,43,94,2020,Педагогическое образование
Сазонова Анастасия,"Орловская область, г.Дмитровск, ул.Новая, д. 63",+7(991)-009-8185,68,49,51,79,60,2018,Статистика
Платова Алисия,"Орловская область, г.Дмитровск, ул.Октябрьская, д. 0",+7(961)-676-2227,41,80,73,68,97,2011,Прикладная информатика
Мышкин Андрей,"г. Брянск, ул.Революции, д. 0",+7(908)-872-3107,78,41,69,43,83,2014,Педагогическое образование
Зотова Лилия,"Брянская область, г.Карачев, ул.Революции, д. 32",+7(931)-795-9373,98,86,87,77,85,2018,Математика
Салтыкова Аделина,"Орловская область, г.Мценск, ул.Октябрьская, д. 13",+7(952)-982-4119,68,69,99,66,93,2011,Статистика
Сазонова Диана,"г. Брянск, ул.Центральная, д. 30",+7(985)-735-0698,92,90,61,69,57,2021,Прикладная математика и информатика
Николаев Лев,"Орловская область, г.Ливны, ул.Революции, д. 26",+7(985)-505-2346,76,67,48,74,70,2012,Педагогическое образование
Петров Николай,"Орловская область, г.Мценск, ул.Гагарина, д. 4",+7(989)-899-8165,61,74,60,42,73,2015,Математика
Воронцова Алиса,"Брянская область, г.Жуковка, ул.Центральная, д. 39",+7(999)-587-8829,88,73,49,67,67,2017,Статистика
Сазонова Дина,"г.Орёлул.Центральная, д. 47",+7(989)-232-3694,57,93,51,44,59,2013,Физика
Сергеев Владислав,"г. Курск, ул.Центральная, д. 49",+7(980)-056-8508,75,91,39,47,67,2011,Статистика
Иванов Илья,"Орловская область, г.Дмитровск, ул.Центральная, д. 26",+7(966)-038-9431,55,55,59,87,86,2011,Математика
Николаев Алексей,"Орловская область, г.Мценск, ул. Ленина, д. 28",+7(966)-335-0717,40,81,84,90,94,2022,Статистика
Зотова Диана,"Брянская область, г.Дятьково, ул.Новая, д. 19",+7(921)-586-0038,67,58,73,56,50,2014,Статистика
Муравьев Владимир,"Брянская область, г.Жуковка, ул.Революции, д. 57",+7(924)-457-2132,99,43,94,60,95,2017,Математика
Васильева Дина,"Брянская область, г.Фокино, ул.Новая, д. 9",+7(923)-918-7683,69,98,98,94,98,2017,Статистика
Ермолаев Олег,"Брянская область, г.Карачев, ул.Октябрьская, д. 64",+7(939)-235-6159,88,41,54,99,72,2015,Физика
Лозовский Лев,"г.Орёлул.Центральная, д. 45Ш",+7(964)-223-5366,63,61,79,61,60,2020,Прикладная информатика
Лозовский Олег,"Орловская область, г.Болхов, ул.Гагарина, д. 31",+7(921)-615-0858,56,42,57,78,61,2022,Физика
Чичиков Николай,"Орловская область, г.Дмитровск, ул. Ленина, д. 44",+7(996)-036-5548,71,44,91,72,64,2019,Педагогическое образование
Сидоров Илья,"Брянская область, г.Дятьково, ул.Октябрьская, д. 62",+7(966)-835-6646,82,55,59,60,68,2016,Педагогическое образование
Зотова Алисия,"г.Орёлул.Новая, д. 39",+7(934)-812-3081,90,96,83,82,71,2017,Статистика
Сидоров Николай,"Брянская область, г.Жуковка, ул.Центральная, д. 54",+7(952)-601-7978,44,61,62,57,46,2013,Математика
Ермолаев Лев,"г. Брянск, ул.Новая, д. 65",+7(969)-684-0212,67,71,81,43,48,2012,Прикладная математика и информатика
Сергеев Владимир,"Орловская область, г.Болхов, ул.Октябрьская, д. 51",+7(909)-017-6669,51,75,41,97,64,2022,Педагогическое образование
Картамышев Николай,"Брянская область, г.Дятьково, ул.Революции, д. 60",+7(992)-112-9598,42,74,65,49,58,2013,Математика
Платова Алиса,"Брянская область, г.Жуковка, ул.Гагарина, д. 32Х",+7(900)-148-9268,74,80,83,67,42,2010,Физика
Лозовский Юрий,"г. Курск, ул.Гагарина, д. 57",+7(910)-780-1138,59,99,82,50,95,2015,Прикладная информатика
Мышкин Владимир,"г. Курск, ул. Ленина, д. 67",+7(933)-409-9111,40,50,90,74,47,2018,Физика
Зотова Анастасия,"г.Орёлул. Ленина, д. 3",+7(929)-902-6792,62,87,98,65,96,2012,Прикладная математика и информатика
Ермолаев Лев,"Орловская область, г.Болхов, ул.Гагарина, д. 55",+7(984)-377-6866,74,56,92,52,77,2010,Математика
Зотова Дина,"г. Брянск, ул.Революции, д. 3",+7(988)-603-6175,87,82,78,50,97,2020,Математика
Мышкин Алексей,"Орловская область, г.Ливны, ул.Центральная, д. 42",+7(934)-718-1818,51,96,91,91,94,2019,Педагогическое образование
Коровьев Владимир,"г. Брянск, ул.Новая, д. 8",+7(953)-586-0082,70,39,49,41,84,2014,Прикладная информатика
Зотова Арина,"Орловская область, г.Дмитровск, ул.Гагарина, д. 56",+7(912)-646-0158,88,50,98,79,68,2018,Прикладная информатика
Платова Анна,"Орловская область, г.Мценск, ул.Революции, д. 37",+7(938)-290-0480,39,54,96,41,48,2010,Математика
Панина Алисия,"Брянская область, г.Клинцы, ул.Центральная, д. 26",+7(931)-716-7582,73,42,61,55,87,2010,Прикладная информатика
Ферзен Мария,"г. Брянск, ул.Гагарина, д. 30",+7(968)-064-9801,90,63,69,85,54,2010,Прикладная математика и информатика
Сергеев Илья,"Брянская область, г.Фокино, ул. Ленина, д. 32",+7(902)-607-3017,62,56,69,92,43,2011,Прикладная математика и информатика
Орлова Дина,"Брянская область, г.Жуковка, ул.Революции, д. 48",+7(934)-706-2696,66,82,78,44,42,2013,Физика
Зотова Милена,"Орловская область, г.Ливны, ул.Октябрьская, д. 45",+7(911)-038-7805,55,43,43,94,97,2019,Прикладная информатика
Чичиков Константин,"Орловская область, г.Дмитровск, ул.Центральная, д. 55",+7(993)-648-9058,72,64,62,68,78,2013,Прикладная математика и информатика
Васильева Дина,"Орловская область, г.Мценск, ул.Новая, д. 21",+7(926)-783-1324,90,44,88,59,52,2014,Прикладная информатика
Уварова Аделина,"г.Орёлул. Ленина, д. 37Г",+7(989)-386-4486,82,74,76,47,65,2019,Педагогическое образование
Иванов Илья,"Брянская область, г.Карачев, ул.Революции, д. 12",+7(913)-599-7702,71,90,97,55,79,2018,Прикладная математика и информатика
Муравьев Николай,"г. Курск, ул. Ленина, д. 2",+7(929)-025-0001,92,48,99,43,69,2022,Педагогическое образование
Латышев Иван,"г.Орёлул.Гагарина, д. 63",+7(996)-585-6486,75,73,80,61,55,2017,Прикладная математика и информатика
Кочергин Роман,"г. Курск, ул.Центральная, д. 12",+7(902)-626-2142,59,86,70,49,80,2016,Прикладная математика и информатика
Розова Юлия,"Брянская область, г.Жуковка, ул. Ленина, д. 59",+7(953)-903-4063,87,97,45,91,45,2012,Прикладная математика и информатика
Николаев Иван,"Орловская область, г.Мценск, ул.Гагарина, д. 56",+7(919)-368-3904,69,54,95,71,43,2016,Статистика
Зотова Дина,"Орловская область, г.Дмитровск, ул.Октябрьская, д. 46Ф",+7(914)-378-9819,56,83,59,89,52,2015,Физика
Уварова Лина,"Брянская область, г.Дятьково, ул.Центральная, д. 1",+7(995)-018-5571,58,90,71,82,62,2020,Прикладная математика и информатика
Розова Алиса,"Брянская область, г.Клинцы, ул.Гагарина, д. 9",+7(991)-009-8185,92,85,59,90,87,2022,Статистика
Ферзен Лина,"Брянская область, г.Карачев, ул.Центральная, д. 52",+7(922)-948-6274,43,71,65,79,78,2010,Математика
Ермолаев Юрий,"Орловская область, г.Дмитровск, ул. Ленина, д. 52",+7(965)-139-7114,80,93,73,75,63,2017,Физика
Зотова Анастасия,"Брянская область, г.Дятьково, ул. Ленина, д. 21",+7(986)-266-3835,54,80,96,55,66,2016,Прикладная математика и информатика
Салтыкова Алиса,"Брянская область, г.Фокино, ул.Новая, д. 43",+7(917)-028-4009,66,64,82,57,65,2019,Педагогическое образование
Уварова Мария,"Брянская область, г.Клинцы, ул.Октябрьская, д. 10",+7(906)-582-0657,82,77,78,42,93,2016,Физика
Кочергин Илья,"г. Брянск, ул.Новая, д. 41К",+7(978)-571-3553,94,57,59,79,88,2013,Математика
Зотова Аделина,"г. Брянск, ул.Центральная, д. 18",+7(989)-405-9669,85,55,69,45,83,2013,Математика
Латышев Андрей,"Брянская область, г.Клинцы, ул.Революции, д. 9А",+7(925)-680-6230,44,89,78,46,78,2021,Физика
Сидоров Алексей,"Брянская область, г.Карачев, ул. Ленина, д. 3",+7(967)-079-7419,45,41,47,65,78,2012,Педагогическое образование
Рябинина Алиса,"г.Орёлул.Центральная, д. 19Е",+7(958)-192-9233,94,42,82,98,70,2010,Физика
Николаев Роман,"Брянская область, г.Дятьково, ул.Гагарина, д. 21",+7(965)-661-6475,57,77,96,82,85,2022,Педагогическое образование
Зотова Мария,"г. Курск, ул.Центральная, д. 68",+7(913)-049-4890,39,86,82,48,98,2012,Математика
Сидоров Владимир,"Брянская область, г.Карачев, ул.Революции, д. 68",+7(911)-816-0306,67,44,67,98,89,2014,Прикладная математика и информатика
Зотова Анна,"г.Орёлул.Революции, д. 29",+7(901)-635-4955,48,80,57,85,69,2014,Математика
Николаев Федор,"г.Орёлул.Центральная, д. 60",+7(904)-319-6215,57,87,43,99,78,2017,Физика
Ларина Диана,"Брянская область, г.Клинцы, ул.Новая, д. 52",+7(922)-623-3141,83,90,89,93,91,2013,Прикладная информатика
Сергеев Олег,"Брянская область, г.Фокино, ул.Центральная, д. 49",+7(984)-026-1080,70,60,97,52,85,2020,Физика
Платова Аделина,"г. Брянск, ул.Гагарина, д. 34",+7(985)-660-6827,67,97,81,47,58,2022,Математика
Лозовский Сергей,"Орловская область, г.Мценск, ул.Революции, д. 27",+7(925)-733-9944,73,68,90,56,74,2011,Физика
Платова Лина,"Брянская область, г.Клинцы, ул.Новая, д. 55",+7(963)-380-0635,71,69,95,41,70,2016,Статистика
Воронцова Анна,"Брянская область, г.Клинцы, ул.Октябрьская, д. 27",+7(958)-284-8021,67,79,86,54,87,2019,Прикладная информатика
Ермолаев Константин,"г.Орёлул.Октябрьская, д. 61",+7(999)-209-0355,66,42,39,94,75,2020,Физика
Мышкин Константин,"Орловская область, г.Дмитровск, ул.Гагарина, д. 53",+7(929)-240-0229,93,63,81,88,83,2011,Прикладная математика и информатика
Латышев Владимир,"Орловская область, г.Дмитровск, ул.Центральная, д. 31",+7(993)-104-2249,57,94,55,63,69,2010,Прикладная математика и информатика
Уварова Алисия,"г.Орёлул.Центральная, д. 21",+7(996)-370-3458,44,68,48,44,50,2020,Прикладная информатика
Картамышев Константин,"Брянская область, г.Карачев, ул.Октябрьская, д. 28",+7(951)-481-8406,75,96,59,70,94,2018,Педагогическое образование
Ларина Дина,"Брянская область, г.Фокино, ул.Октябрьская, д. 17",+7(977)-456-2390,50,99,64,95,70,2016,Прикладная математика и информатика
Уварова Мария,"г. Брянск, ул. Ленина, д. 10",+7(952)-326-0667,86,85,55,48,68,2018,Математика
Иванов Федор,"Орловская область, г.Мценск, ул.Революции, д. 1",+7(966)-351-2992,82,77,79,42,74,2022,Педагогическое образование
Розова Анна,"Брянская область, г.Жуковка, ул.Революции, д. 5",+7(987)-113-3668,98,48,80,98,53,2011,Прикладная математика и информатика
Рябинина Арина,"Брянская область, г.Клинцы, ул.Новая, д. 4",+7(911)-877-2406,94,60,57,77,44,2022,Физика
Орлова Алисия,"Брянская область, г.Клинцы, ул.Новая, д. 19",+7(925)-353-4974,73,41,83,51,61,2013,Математика
Лозовский Федор,"г. Брянск, ул.Гагарина, д. 13",+7(964)-050-6324,85,78,63,51,60,2018,Физика
Латышев Лев,"Брянская область, г.Клинцы, ул.Центральная, д. 2",+7(986)-093-1476,51,42,87,71,96,2012,Педагогическое образование
Сазонова Арина,"Орловская область, г.Ливны, ул. Ленина, д. 1Ц",+7(981)-152-8036,89,44,66,49,84,2012,Статистика
Коровьев Сергей,"Брянская область, г.Карачев, ул.Гагарина, д. 43",+7(915)-265-5877,77,98,94,51,83,2011,Педагогическое образование
Зотова Милена,"Брянская область, г.Дятьково, ул.Гагарина, д. 5",+7(901)-770-6964,59,88,85,54,91,2011,Математика
Чичиков Николай,"г. Курск, ул.Новая, д. 50",+7(992)-965-7514,58,68,71,60,48,2012,Прикладная информатика
Ферзен Лина,"Брянская область, г.Клинцы, ул.Революции, д. 23",+7(960)-460-3511,41,70,62,69,40,2011,Статистика
Николаев Владислав,"Орловская область, г.Ливны, ул.Центральная, д. 6",+7(952)-199-6986,42,65,87,87,97,2022,Математика
Муравьев Сергей,"г.Орёлул.Революции, д. 39",+7(936)-639-2899,67,85,78,44,59,2014,Математика
Иванов Алексей,"г.Орёлул. Ленина, д. 46",+7(902)-574-3905,93,49,51,43,96,2012,Прикладная математика и информатика
Зотова Аделина,"Брянская область, г.Клинцы, ул.Новая, д. 6",+7(953)-982-6431,99,83,60,75,48,2016,Прикладная информатика
Платова Анна,"Брянская область, г.Карачев, ул. Ленина, д. 3",+7(992)-112-9598,95,74,83,51,92,2016,Физика
Рябинина Аделина,"Орловская область, г.Мценск, ул.Новая, д. 0",+7(910)-254-3490,91,89,74,77,56,2010,Прикладная информатика
Рябинина Алиса,"Брянская область, г.Фокино, ул.Центральная, д. 19С",+7(953)-970-1803,77,66,73,43,41,2011,Статистика
Платова Лина,"Брянская область, г.Клинцы, ул.Октябрьская, д. 3",+7(930)-400-2765,46,39,72,89,63,2016,Прикладная информатика
Николаев Андрей,"Брянская область, г.Фокино, ул.Революции, д. 60",+7(985)-247-6859,65,94,94,59,51,2021,Прикладная информатика
Панина Дина,"Брянская область, г.Жуковка, ул.Новая, д. 23",+7(913)-598-5005,89,75,98,88,42,2022,Математика
Николаев Федор,"Орловская область, г.Ливны, ул.Революции, д. 52",+7(937)-363-3700,51,60,39,69,43,2015,Прикладная математика и информатика
Латышев Лев,"Брянская область, г.Клинцы, ул.Новая, д. 23",+7(919)-273-7020,58,62,84,47,64,2010,Прикладная информатика
Латышев Константин,"г. Курск, ул. Ленина, д. 11",+7(923)-178-5480,39,52,76,67,77,2015,Педагогическое образование
Уварова Марина,"г. Курск, ул.Центральная, д. 24",+7(927)-660-9237,77,42,87,66,94,2022,Педагогическое образование
Ларина Юлия,"Орловская область, г.Дмитровск, ул.Центральная, д. 25Ж",+7(994)-138-4700,53,90,96,42,65,2019,Статистика
Зотова Анастасия,"Орловская область, г.Дмитровск, ул.Революции, д. 19",+7(900)-273-7208,99,68,74,43,82,2014,Прикладная информатика
